cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2023-01,66.0,10.0,9.0,12.0,5.0,9.0,9.0,10.0,7.0,4.0,9.0,11.0,8.0,8.0,12.0,9.0,11.0,9.0,6.0,7.0,9.0,5.0,10.0,7.0,,,,,,,,,,,,
2023-02,55.0,8.0,2.0,14.0,3.0,3.0,5.0,4.0,4.0,12.0,2.0,6.0,10.0,6.0,6.0,6.0,10.0,6.0,12.0,8.0,7.0,4.0,2.0,,,,,,,,,,,,,
2023-03,38.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,6.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,8.0,5.0,3.0,5.0,5.0,5.0,,,,,,,,,,,,,,
2023-04,53.0,9.0,5.0,12.0,6.0,11.0,8.0,5.0,6.0,9.0,2.0,7.0,5.0,8.0,7.0,6.0,8.0,4.0,7.0,9.0,6.0,,,,,,,,,,,,,,,
2023-05,34.0,3.0,5.0,5.0,1.0,5.0,7.0,5.0,,5.0,3.0,5.0,2.0,8.0,6.0,4.0,6.0,5.0,4.0,3.0,,,,,,,,,,,,,,,,
2023-06,35.0,3.0,4.0,3.0,6.0,5.0,6.0,3.0,6.0,5.0,3.0,6.0,6.0,1.0,6.0,4.0,3.0,6.0,5.0,,,,,,,,,,,,,,,,,
2023-07,31.0,4.0,3.0,2.0,5.0,1.0,,6.0,5.0,3.0,7.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,
2023-08,33.0,5.0,4.0,2.0,7.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,5.0,5.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
2023-09,25.0,5.0,3.0,2.0,6.0,1.0,6.0,1.0,4.0,,5.0,7.0,2.0,2.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,
2023-10,21.0,3.0,2.0,2.0,4.0,4.0,5.0,,5.0,4.0,3.0,2.0,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,
2023-11,18.0,2.0,3.0,2.0,1.0,3.0,2.0,,2.0,3.0,,5.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,
2023-12,9.0,2.0,1.0,3.0,,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
2024-01,16.0,1.0,3.0,3.0,1.0,2.0,4.0,1.0,4.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-02,17.0,1.0,3.0,,3.0,1.0,1.0,6.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04,4.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05,12.0,5.0,,4.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06,8.0,1.0,2.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07,5.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09,7.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
