cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2023-01,3939.26,4550.36,4986.13,5781.37,6163.04,6798.57,7394.6,8206.34,8778.09,8984.8,9446.83,10092.48,10616.3,10974.05,11372.98,12001.58,12590.33,13016.77,13348.03,13922.86,14254.64,14525.63,15090.38,15422.75,,,,,,,,,,,,
2023-02,4594.35,5002.76,5104.48,6152.55,6299.08,6557.79,6720.8,6870.35,7532.48,8180.61,8212.97,8726.28,9509.03,9827.7,10160.79,10696.58,11453.49,11814.69,12605.94,13100.6,13391.07,13673.71,13889.21,,,,,,,,,,,,,
2023-03,3860.62,4776.24,5119.25,5619.74,5971.52,6330.72,6791.88,7448.92,8005.92,8505.56,8929.87,9447.82,9726.98,10248.51,10537.45,11036.13,12210.49,12939.87,13300.99,13679.67,14333.26,14756.28,,,,,,,,,,,,,,
2023-04,3728.74,4489.56,4748.65,5669.51,6157.89,6733.48,7293.09,7742.37,8055.38,8703.05,8851.82,9570.42,9831.12,10590.95,11195.55,11769.59,12381.4,12688.33,12953.12,13338.09,13776.1,,,,,,,,,,,,,,,
2023-05,3191.49,3530.71,4243.71,4736.65,4955.27,5636.85,6470.12,7092.82,,8305.34,8466.11,9182.22,9302.47,11845.86,12256.16,12697.91,13291.61,14128.22,14552.44,15132.98,,,,,,,,,,,,,,,,
2023-06,3440.61,4096.32,4534.15,4686.71,5564.88,6030.07,7105.21,7357.67,7954.39,8732.58,8932.16,9739.72,10435.75,10591.74,11067.36,11489.82,11728.29,12350.89,12713.54,,,,,,,,,,,,,,,,,
2023-07,3561.0,3986.77,4523.66,4854.77,5350.73,5513.01,,6297.65,7132.61,7695.06,8495.92,8919.76,9222.75,9962.32,10213.56,10832.46,10952.49,11104.21,,,,,,,,,,,,,,,,,,
2023-08,4493.3,5101.69,5574.17,5808.73,6697.35,6774.33,7054.96,7257.72,7364.14,7727.06,8369.3,8462.52,9043.24,9357.84,9495.71,9739.49,10074.78,,,,,,,,,,,,,,,,,,,
2023-09,2681.87,3373.49,3552.16,3829.05,5970.76,6186.69,7023.31,7074.4,7482.87,,8363.75,8983.88,9239.84,9373.06,10211.9,11100.8,,,,,,,,,,,,,,,,,,,,
2023-10,2715.03,3542.8,3955.72,4258.47,5775.2,6575.69,7695.4,,8381.56,9168.25,9476.5,9673.97,,10109.13,10896.09,,,,,,,,,,,,,,,,,,,,,
2023-11,4166.34,4426.98,5256.04,5469.19,5803.07,6387.04,6983.13,,7329.99,7766.32,,8864.59,9167.64,10776.99,,,,,,,,,,,,,,,,,,,,,,
2023-12,4769.62,5439.11,5791.32,6310.8,,6865.36,8343.59,9420.0,9609.35,9644.09,11543.49,11558.97,12691.75,,,,,,,,,,,,,,,,,,,,,,,
2024-01,4615.49,4889.56,5337.42,6149.65,6398.71,6916.03,9268.57,9328.58,10494.68,11078.91,12245.45,12544.93,,,,,,,,,,,,,,,,,,,,,,,,
2024-02,5063.51,5328.15,5903.84,,6509.64,6579.02,6866.5,8491.23,8930.08,8948.31,9171.78,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03,5557.88,6221.44,6481.22,7450.67,7904.19,8451.86,8810.67,8850.0,10224.2,11892.85,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04,3460.12,3925.6,,,4566.19,,,5621.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05,2779.05,4078.25,,5711.35,,,6963.54,7404.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06,4611.4,5288.46,5785.66,6355.0,6708.54,7108.71,8580.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07,3738.03,4439.68,5984.74,7005.69,,8665.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08,1453.22,,2634.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09,4385.59,,4797.36,4909.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10,4050.86,,4786.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11,2014.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12,1073.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
